country,year,population,primary_energy_consumption,energy_per_capita,energy_cons_change_pct,solar_electricity,solar_share_elec,wind_electricity,wind_share_elec,hydro_electricity,hydro_share_elec,coal_electricity,oil_electricity,gas_electricity,coal_share_elec,electricity_generation,carbon_intensity_elec,biofuel_share_elec,other_renewables_share_elec,oil_share_elec,gas_share_elec
Argentina,2000,37213933,703.635,18907.83,-0.271,0,0,0.03,0.034,28.58,32.12,1.78,3.14,48.88,2,88.98,355.473,0.438,0.434,3.529,54.934
Argentina,2001,37624762,687.341,18268.309,-2.316,0,0,0.05,0.055,36.58,40.581,1.36,1.47,43.26,1.509,90.14,302.086,0.399,0.403,1.631,47.992
Argentina,2002,38029300,658.151,17306.42,-4.247,0,0,0.07,0.083,35.78,42.298,0.81,0.87,40.71,0.958,84.59,294.834,0.627,0.627,1.028,48.126
Argentina,2003,38424224,704.758,18341.496,7.081,0,0,0.08,0.087,33.8,36.711,0.94,1.05,47.75,1.021,92.07,316.39,0.956,0.956,1.14,51.863
Argentina,2004,38815865,751.157,19351.803,6.584,0,0,0.07,0.07,30.46,30.381,1.68,4.1,55.21,1.676,100.26,357.67,0.868,0.865,4.089,55.067
Argentina,2005,39216734,796.367,20306.811,6.019,0,0,0.07,0.066,34.22,32.359,2.18,5.79,55.7,2.061,105.75,357.163,0.87,0.867,5.475,52.671
Argentina,2006,39622060,836.059,21100.846,4.984,0,0,0.07,0.062,38.02,33.518,1.99,8.18,56.4,1.754,113.43,349.907,0.926,0.922,7.211,49.722
Argentina,2007,40016709,869.076,21717.828,3.949,0,0,0.06,0.053,31.22,27.502,2.34,11.4,60.18,2.061,113.52,388.037,0.943,0.943,10.042,53.013
Argentina,2008,40424101,879.072,21746.229,1.15,0,0,0.04,0.033,31.2,25.593,1.94,14.72,65.41,1.591,121.91,400.623,0.993,0.989,12.074,53.654
Argentina,2009,40854783,852.154,20858.123,-3.062,0,0,0.04,0.033,34.62,28.303,1.75,14.84,61.7,1.431,122.32,382.358,0.973,0.972,12.132,50.441
Argentina,2010,41288642,882.268,21368.291,3.534,0,0,0.03,0.024,33.36,26.476,3.01,17.2,63.81,2.389,126,401.587,1.095,1.093,13.651,50.643
Argentina,2011,41730610,907.376,21743.648,2.846,0,0,0.03,0.023,31.19,24.087,2.91,19.71,67.86,2.247,129.49,419.878,1.073,1.073,15.221,52.406
Argentina,2012,42161676,944.132,22393.131,4.051,0.01,0.007,0.37,0.272,29.16,21.438,2.64,19.76,76.23,1.941,136.02,432.142,1.066,1.068,14.527,56.043
Argentina,2013,42582408,1009.449,23705.771,6.918,0.02,0.014,0.45,0.323,32.77,23.499,2.38,21.39,74.7,1.707,139.45,422.23,1.097,1.095,15.339,53.568
Argentina,2014,43024021,993.008,23080.312,-1.629,0.02,0.014,0.62,0.448,32.42,23.401,2.54,19.79,76.16,1.833,138.54,424.137,1.068,1.07,14.285,54.973
Argentina,2015,43476961,1009.992,23230.514,1.71,0.01,0.007,0.59,0.406,32.34,22.239,2.39,22.45,79.11,1.644,145.42,426.558,1.025,1.023,15.438,54.401
Argentina,2016,43900264,1005.722,22909.24,-0.423,0.01,0.007,0.55,0.374,29.75,20.213,1.93,21.2,84.28,1.311,147.18,431.92,0.802,0.8,14.404,57.263
Argentina,2017,44288844,996.988,22511.043,-0.868,0.02,0.014,0.61,0.419,31.59,21.695,2.01,12.62,91.21,1.38,145.61,425.383,1.003,1.004,8.667,62.64
Argentina,2018,44654822,986.055,22081.709,-1.097,0.11,0.075,1.41,0.961,32.28,21.992,2.03,7.31,95.35,1.383,146.78,414.294,0.967,0.966,4.98,64.961
Argentina,2019,44973412,925.658,20582.338,-6.125,0.8,0.573,5,3.583,27.5,19.709,1.17,3.83,91.31,0.839,139.53,397.621,1.061,1.058,2.745,65.441
Argentina,2020,45191917,863.972,19117.844,-6.664,1.34,0.926,9.41,6.506,23.67,16.365,1.64,7.65,88.72,1.134,144.64,394.704,1.521,1.521,5.289,61.338
Argentina,2021,45312226,948.187,20925.641,9.747,2.2,1.437,12.94,8.449,19.65,12.831,2.38,13.63,89.93,1.554,153.15,406.987,1.469,1.472,8.9,58.72
Argentina,2022,45407866,1001.241,22049.957,5.595,2.94,2.019,14.16,9.724,22.77,15.637,2.35,16.93,76.65,1.614,145.62,392.872,1.614,1.647,11.626,52.637
Argentina,2023,45538356,1004.261,22053.076,0.302,3.27,2.233,14.48,9.889,29.9,20.419,1.83,9.8,75.91,1.25,146.43,353.958,1.557,1.641,6.693,51.84
Argentina,2024,45696111,983.105,21513.967,-2.107,3.95,2.684,16.17,10.987,24.32,16.524,1.21,9.13,79.59,0.822,147.18,358.948,1.603,1.79,6.203,54.077
Brazil,2000,174018229,2364.255,13586.25,4.154,0,0,0,0,304.4,87.238,10.93,15.62,4.07,3.132,348.93,89.445,2.253,2.251,4.477,1.166
Brazil,2001,176301154,2304.051,13068.838,-2.546,0,0,0.03,0.009,267.88,81.534,11.08,16.34,9.92,3.372,328.55,105.737,2.745,2.746,4.973,3.019
Brazil,2002,178503419,2351.535,13173.614,2.061,0,0,0.06,0.017,286.09,82.752,9.12,13.93,12.41,2.638,345.72,97.304,2.971,2.971,4.029,3.59
Brazil,2003,180622646,2386.334,13211.71,1.48,0,0,0.06,0.016,305.62,83.872,9.01,11.29,13.11,2.473,364.39,90.672,3.277,3.277,3.098,3.598
Brazil,2004,182675086,2503.373,13703.963,4.905,0,0,0.06,0.015,320.8,82.789,10.37,12.87,19.26,2.676,387.49,101.783,3.231,3.23,3.321,4.97
Brazil,2005,184688047,2569.063,13910.281,2.624,0,0,0.09,0.022,337.46,83.722,10.68,12.54,18.81,2.65,403.07,98.891,3.384,3.385,3.111,4.667
Brazil,2006,186653053,2641.583,14152.367,2.823,0,0,0.24,0.057,348.8,83.157,10.47,13.08,18.26,2.496,419.45,95.959,3.54,3.539,3.118,4.353
Brazil,2007,188552256,2810.543,14905.913,6.396,0,0,0.66,0.148,374.02,84.021,10.08,14.48,15.5,2.264,445.15,90.913,4.057,4.058,3.253,3.482
Brazil,2008,190367242,2936.354,15424.68,4.476,0,0,1.18,0.255,369.56,79.788,11.96,17.94,28.78,2.582,463.18,113.628,4.273,4.272,3.873,6.214
Brazil,2009,192079912,2925.52,15230.744,-0.369,0,0,1.24,0.266,390.99,83.873,9.97,14.8,13.33,2.139,466.17,87.372,4.908,4.907,3.175,2.859
Brazil,2010,193701879,3188.735,16462.074,8.997,0,0,2.18,0.423,403.29,78.187,11.29,16.1,36.48,2.189,515.8,114.153,6.192,6.193,3.121,7.073
Brazil,2011,195284687,3316.323,16981.994,4.001,0,0,2.7,0.508,428.33,80.549,12.6,14.74,25.1,2.369,531.76,99.763,6.136,6.136,2.772,4.72
Brazil,2012,196876061,3408.335,17312.084,2.775,0,0,5.05,0.914,415.34,75.175,14.47,19.07,46.76,2.619,552.5,128.344,6.474,6.473,3.452,8.463
Brazil,2013,198478236,3500.955,17638.986,2.717,0,0,6.58,1.153,390.99,68.495,21.97,25.87,69,3.849,570.83,167.843,7.177,7.178,4.532,12.088
Brazil,2014,200085074,3575.635,17870.574,2.133,0.02,0.003,12.21,2.068,373.44,63.236,26.9,34.45,81.07,4.555,590.55,192.939,7.972,7.972,5.834,13.728
Brazil,2015,201675482,3535.438,17530.332,-1.124,0.06,0.01,21.63,3.721,359.74,61.894,26.98,28.71,79.49,4.642,581.22,188.638,8.582,8.582,4.94,13.676
Brazil,2016,203218058,3451.454,16983.994,-2.375,0.09,0.016,33.49,5.785,380.91,65.8,25.67,15.06,56.48,4.434,578.89,149.648,8.867,8.868,2.602,9.757
Brazil,2017,204703394,3477.629,16988.623,0.758,0.83,0.141,42.37,7.19,370.91,62.939,22.85,18.12,65.59,3.877,589.32,155.875,8.978,8.979,3.075,11.13
Brazil,2018,206107217,3486.378,16915.361,0.252,3.46,0.575,48.48,8.061,388.97,64.678,20.8,15.01,54.62,3.459,601.39,136.949,9.042,9.043,2.496,9.082
Brazil,2019,207455405,3567.019,17194.148,2.313,6.65,1.05,55.99,8.841,397.88,62.823,21.68,14.12,65.96,3.423,633.33,141.932,8.672,8.672,2.229,10.415
Brazil,2020,208660785,3422.429,16401.881,-4.054,10.75,1.71,57.05,9.073,396.38,63.042,17.75,14.56,59.48,2.823,628.76,133.358,9.342,9.342,2.316,9.46
Brazil,2021,209550238,3581.199,17089.93,4.639,16.75,2.553,72.29,11.018,362.82,55.299,24.24,22.63,86.96,3.695,656.11,168.051,8.492,8.537,3.449,13.254
Brazil,2022,210306358,3731.718,17744.197,4.203,30.13,4.449,81.63,12.055,427.11,63.073,14.2,12.4,42.11,2.097,677.17,103.327,8.126,8.125,1.831,6.219
Brazil,2023,211140678,3853.746,18252.031,3.27,51.48,7.251,95.51,13.452,428.65,60.374,14.17,12.13,37.71,1.996,709.99,96.396,7.863,8.135,1.708,5.311
Brazil,2024,211998503,3919.054,18486.234,1.695,74.68,10.021,107.81,14.466,414.84,55.664,15.65,12.34,47.78,2.1,745.26,103.212,7.571,7.814,1.656,6.411
Chile,2000,15503580,307.391,19827.115,4.87,0,0,0,0,19.55,47.544,8.47,1.71,10.45,20.598,41.12,388.132,2.286,2.286,4.159,25.413
Chile,2001,15683809,313.345,19978.879,1.937,0,0,0.01,0.024,20.79,49.126,4.84,1.27,13.34,11.437,42.32,336.484,4.891,4.891,3.001,31.522
Chile,2002,15857882,320.801,20229.775,2.38,0,0,0.01,0.023,22.04,50.737,5.05,1.48,12.92,11.625,43.44,330.111,4.466,4.466,3.407,29.742
Chile,2003,16024700,322.49,20124.541,0.526,0,0,0.01,0.021,21.46,46.022,4.88,1.89,16.58,10.465,46.63,355.351,3.882,3.882,4.053,35.557
Chile,2004,16187270,344.299,21269.738,6.763,0,0,0.01,0.02,21.76,42.667,7.72,2.84,16.64,15.137,51,391.765,3.98,3.98,5.569,32.627
Chile,2005,16348730,357.327,21856.557,3.784,0,0,0.01,0.019,26.22,50.211,7.21,3.39,13.6,13.807,52.22,347.568,3.428,3.428,6.492,26.044
Chile,2006,16509144,369.682,22392.578,3.458,0,0,0.01,0.018,28.84,52.398,10.6,2.72,11.44,19.259,55.04,355.378,2.598,2.598,4.942,20.785
Chile,2007,16671520,369.299,22151.465,-0.104,0,0,0.01,0.017,22.9,39.293,13.26,14.78,4.63,22.752,58.28,456.932,4.633,4.633,25.36,7.944
Chile,2008,16838934,369.306,21931.654,0.002,0,0,0.04,0.067,23.95,40.279,14.11,16.09,2.19,23.73,59.46,454.423,5.18,5.18,27.06,3.683
Chile,2009,17009684,354.372,20833.568,-4.044,0,0,0.08,0.133,25.04,41.478,14.9,12.15,3.93,24.681,60.37,435.978,7.073,7.073,20.126,6.51
Chile,2010,17181416,363.948,21182.635,2.702,0,0,0.33,0.548,21.64,35.917,16.87,8.47,10.69,28,60.25,481.66,3.734,3.734,14.058,17.743
Chile,2011,17351762,385.712,22228.969,5.98,0,0,0.34,0.518,20.94,31.896,19.62,6.36,13.72,29.886,65.65,493.069,7.113,7.113,9.688,20.899
Chile,2012,17519067,402.747,22989.041,4.416,0,0,0.41,0.589,19.98,28.719,25.34,6.14,12.85,36.424,69.57,531.407,6.971,6.971,8.826,18.471
Chile,2013,17686958,413.759,23393.469,2.734,0.01,0.014,0.55,0.755,19.68,27.018,30.24,5.45,11.15,41.516,72.84,551.757,7.908,7.908,7.482,15.308
Chile,2014,17864143,409.534,22924.914,-1.021,0.48,0.684,1.44,2.052,22.81,32.507,26.01,3.89,10.21,37.067,70.17,493.658,7.596,7.596,5.544,14.55
Chile,2015,18047575,414.23,22952.104,1.147,1.24,1.655,2.11,2.817,23.4,31.237,28.03,3.16,11.36,37.418,74.91,491.39,7.489,7.489,4.218,15.165
Chile,2016,18267176,433.903,23753.172,4.749,2.59,3.286,2.45,3.108,22.81,28.936,30.26,2.91,11.85,38.386,78.83,496.385,7.561,7.561,3.691,15.032
Chile,2017,18558817,450.347,24265.926,3.79,3.84,4.865,3.52,4.46,20.89,26.466,29.3,1.91,13.35,37.121,78.93,487.267,7.678,7.754,2.42,16.914
Chile,2018,18893141,468.278,24785.592,3.982,5.12,6.262,3.58,4.379,22.9,28.009,29.89,1.29,13.08,36.558,81.76,470.279,6.959,7.216,1.578,15.998
Chile,2019,19197702,473.979,24689.348,1.217,6.3,7.502,4.89,5.823,22.03,26.232,28.13,1.17,15.87,33.496,83.98,456.537,6.418,6.656,1.393,18.897
Chile,2020,19370563,442.478,22842.787,-6.646,7.53,9.009,5.55,6.64,21.93,26.238,26.07,1.73,15.29,31.192,83.58,436.827,6.269,6.557,2.07,18.294
Chile,2021,19456275,476.857,24509.162,7.77,10.56,12.12,7.62,8.746,18.96,21.761,25.1,3.06,15.9,28.808,87.13,425.456,6.439,6.806,3.512,18.249
Chile,2022,19552984,503.505,25750.818,5.588,15.71,17.256,8.88,9.754,20.68,22.715,21.52,3.06,16.09,23.638,91.04,372.803,5.097,5.602,3.361,17.674
Chile,2023,19658791,497.494,25306.416,-1.194,18.06,20.6,9.46,10.79,23.3,26.577,15.16,2.56,13.49,17.292,87.67,301.928,5.931,6.433,2.92,15.387
Chile,2024,19764730,518.732,26245.322,4.269,19.92,22.317,10.58,11.853,26.41,29.588,14.1,2.42,10.35,15.797,89.26,265.516,5.792,6.139,2.711,11.595
Colombia,2000,39089879,314.184,8037.486,-2.692,0.01,0.023,0,0,31.75,74.165,2.08,0.22,8.25,4.859,42.81,189.208,1.168,1.168,0.514,19.271
Colombia,2001,39709209,316.865,7979.627,0.853,0.01,0.023,0,0,31.48,72.972,2.23,0.23,8.69,5.169,43.14,197.728,1.159,1.159,0.533,20.144
Colombia,2002,40324632,316.936,7859.615,0.023,0.01,0.022,0,0,33.63,75.218,2.17,0.23,8.18,4.854,44.71,183.404,1.096,1.096,0.514,18.296
Colombia,2003,40937378,322.863,7886.763,1.87,0.01,0.022,0,0,35.81,77.511,2.81,0.24,6.83,6.082,46.2,172.078,1.082,1.082,0.519,14.784
Colombia,2004,41543134,339.531,8172.966,5.162,0.01,0.02,0.05,0.101,39.68,80.438,1.86,0.25,7.01,3.771,49.33,148.388,0.953,0.953,0.507,14.21
Colombia,2005,42128928,334.302,7935.201,-1.54,0.01,0.02,0.05,0.1,39.4,78.895,2.33,0.25,7.4,4.666,49.94,159.992,1.001,1.001,0.501,14.818
Colombia,2006,42691022,385.987,9041.402,15.461,0.01,0.019,0.06,0.112,42.31,79.321,2.84,0.21,7.38,5.324,53.34,158.98,0.994,0.994,0.394,13.836
Colombia,2007,43235327,392.271,9072.933,1.628,0.01,0.018,0.05,0.091,44,80.307,3.39,0.24,6.57,6.187,54.79,155.138,0.967,0.967,0.438,11.991
Colombia,2008,43758748,408.48,9334.818,4.132,0.01,0.018,0.05,0.09,45.94,82.805,2.92,0.26,5.76,5.263,55.48,137.527,0.973,0.973,0.469,10.382
Colombia,2009,44271496,403.782,9120.592,-1.15,0.01,0.018,0.06,0.106,40.64,71.612,4.17,0.39,10.94,7.348,56.75,211.63,0.952,0.952,0.687,19.278
Colombia,2010,44777278,424.601,9482.512,5.156,0.01,0.017,0.04,0.066,40,66.412,4.04,1.75,11.97,6.708,60.23,229.454,4.018,4.018,2.906,19.874
Colombia,2011,45259560,443.797,9805.588,4.521,0.01,0.016,0.04,0.065,48.39,78.428,2.25,1.37,7.64,3.647,61.7,151.378,3.241,3.241,2.22,12.382
Colombia,2012,45715766,471.933,10323.202,6.34,0.01,0.016,0.05,0.079,47.11,74.707,3.36,1.59,8.99,5.328,63.06,179.036,3.092,3.092,2.521,14.256
Colombia,2013,46151536,485.04,10509.718,2.777,0.01,0.014,0.06,0.082,49.76,67.691,6.04,1.23,15.36,8.217,73.51,236.022,1.428,1.428,1.673,20.895
Colombia,2014,46565374,510.586,10964.926,5.267,0.01,0.014,0.07,0.099,47.25,67.059,5.46,2.08,14.24,7.749,70.46,236.73,1.916,1.916,2.952,20.21
Colombia,2015,46969894,504.402,10738.832,-1.211,0.01,0.013,0.07,0.09,47.94,61.485,7.06,3.57,17.95,9.055,77.97,275.362,1.757,1.757,4.579,23.022
Colombia,2016,47437468,548.829,11569.522,8.808,0.01,0.013,0.05,0.066,48.46,63.621,6.18,4.11,15.9,8.113,76.17,259.551,1.917,1.917,5.396,20.874
Colombia,2017,48131023,555.225,11535.705,1.165,0.01,0.013,0,0,60.64,77.278,3.15,2.24,11.01,4.014,78.47,166.178,1.81,1.81,2.855,14.031
Colombia,2018,49024413,571.28,11652.979,2.892,0.02,0.026,0.04,0.051,58.19,74.402,4.52,2.37,11.62,5.779,78.21,187.444,1.854,1.854,3.03,14.857
Colombia,2019,49907932,573.736,11495.889,0.43,0.13,0.165,0.06,0.076,52.98,67.251,8.13,2.75,13.16,10.32,78.78,240.924,1.993,1.993,3.491,16.705
Colombia,2020,50629945,517.813,10227.399,-9.747,0.19,0.244,0.01,0.013,48.44,62.302,9.12,2.65,15.19,11.73,77.75,271.254,2.765,2.765,3.408,19.537
Colombia,2021,51188120,565.815,11053.641,9.27,0.33,0.391,0.06,0.071,60.7,71.954,4.44,2.83,13.76,5.263,84.36,195.827,2.655,2.655,3.355,16.311
Colombia,2022,51737891,627.227,12123.163,10.854,0.63,0.76,0.07,0.084,58.73,70.879,5.01,2.75,13.49,6.046,82.86,202.148,2.631,2.631,3.319,16.28
Colombia,2023,52321104,615.308,11760.22,-1.9,1.13,1.25,0.06,0.066,56.19,62.143,11.33,3.24,16.2,12.53,90.42,268.967,2.511,2.511,3.583,17.916
Colombia,2024,52886314,615.888,11645.505,0.094,3.21,3.668,0,0,50.84,58.096,13.26,3.2,14.73,15.153,87.51,285.796,2.594,2.594,3.657,16.832
Ecuador,2000,12689159,104.129,8206.124,-5.536,0,0,0,0,7.53,71.51,0,3,0,0,10.53,204.179,0,0,28.49,0
Ecuador,2001,12910685,105.483,8170.207,1.3,0,0,0,0,7,63.752,0,3.98,0,0,10.98,254.098,0,0,36.248,0
Ecuador,2002,13138427,104.109,7924.037,-1.302,0,0,0,0,7.45,63.082,0,3.88,0.48,0,11.81,262.489,0,0,32.854,4.064
Ecuador,2003,13372246,106.607,7972.291,2.399,0,0,0,0,7.11,61.934,0,3.43,0.94,0,11.48,274.39,0,0,29.878,8.188
Ecuador,2004,13608650,114.056,8381.136,6.987,0,0,0,0,7.34,57.344,0,4.22,1.24,0,12.8,303.906,0,0,32.969,9.688
Ecuador,2005,13846112,120.725,8719.039,5.847,0,0,0,0,6.81,53.877,0,4.33,1.48,0,12.64,327.532,0.158,0.158,34.256,11.709
Ecuador,2006,14086093,127.686,9064.662,5.766,0,0,0,0,7.06,50.142,0,5.21,1.79,0,14.08,352.273,0.142,0.142,37.003,12.713
Ecuador,2007,14328733,134.253,9369.465,5.143,0,0,0,0,8.95,51.884,0,6.27,2.01,0,17.25,340.29,0.116,0.116,36.348,11.652
Ecuador,2008,14575156,143.285,9830.776,6.728,0,0,0,0,11.18,60.465,0,5.57,1.72,0,18.49,283.937,0.108,0.108,30.124,9.302
Ecuador,2009,14825912,139.805,9429.783,-2.429,0,0,0,0,9.13,50.275,0,7.11,1.9,0,18.16,349.67,0.11,0.11,39.152,10.463
Ecuador,2010,15076646,155.194,10293.683,11.008,0,0,0,0,8.55,44.027,0,8.66,2.19,0,19.42,389.804,0.103,0.103,44.593,11.277
Ecuador,2011,15326174,164.644,10742.687,6.089,0,0,0,0,11.02,53.94,0,7.46,1.94,0,20.43,325.502,0.049,0.049,36.515,9.496
Ecuador,2012,15572144,173.933,11169.524,5.642,0,0,0,0,12.12,53.322,0,8.25,2.34,0,22.73,329.96,0.088,0.088,36.296,10.295
Ecuador,2013,15807087,179.509,11356.245,3.206,0,0,0.06,0.259,10.93,47.193,0,9.3,2.83,0,23.16,368.739,0.173,0.173,40.155,12.219
Ecuador,2014,16035075,188.563,11759.419,5.044,0.02,0.083,0.08,0.331,11.34,46.879,0,9.78,2.91,0,24.19,369.161,0.248,0.248,40.43,12.03
Ecuador,2015,16266173,188.046,11560.564,-0.274,0.04,0.155,0.1,0.387,12.97,50.213,0,9.82,2.81,0,25.83,345.722,0.348,0.348,38.018,10.879
Ecuador,2016,16505094,187.404,11354.303,-0.342,0.04,0.147,0.08,0.295,15.68,57.732,0,8.85,2.02,0,27.16,288.66,1.804,1.804,32.585,7.437
Ecuador,2017,16759466,195.11,11641.762,4.112,0.04,0.144,0.07,0.252,19.89,71.47,0,5.64,1.73,0,27.83,201.222,1.653,1.653,20.266,6.216
Ecuador,2018,17049489,206.38,12104.775,5.777,0.04,0.137,0.08,0.274,20.47,70.031,0,6.68,1.53,0,29.23,210.058,1.471,1.471,22.853,5.234
Ecuador,2019,17339967,211.333,12187.63,2.4,0.04,0.123,0.09,0.277,24.66,75.994,0,5.82,1.39,0,32.45,171.957,1.387,1.387,17.935,4.284
Ecuador,2020,17546006,182.862,10421.882,-13.472,0.04,0.128,0.08,0.256,24.33,77.756,0,5.22,1.15,0,31.29,159.476,1.502,1.502,16.683,3.675
Ecuador,2021,17682398,212.597,12023.08,16.261,0.04,0.125,0.06,0.187,25.57,79.608,0,4.91,1.13,0,32.12,149.128,1.276,1.276,15.286,3.518
Ecuador,2022,17823857,222.718,12495.517,4.761,0.04,0.121,0.06,0.181,24.64,74.531,0,6.89,1.04,0,33.06,181.186,1.18,1.18,20.841,3.146
Ecuador,2023,17980034,232.234,12916.239,4.273,0.04,0.117,0.06,0.176,25.73,75.344,0,6.91,1.02,0,34.15,176.281,1.142,1.142,20.234,2.987
Ecuador,2024,18135419,230.721,12722.124,-0.652,0.04,0.121,0.08,0.242,23.01,69.727,0,8.34,1.01,0,33,209.697,1.576,1.576,25.273,3.061
Peru,2000,26598284,147.359,5540.175,3.313,0,0,0,0,16.17,81.175,0.35,2.45,0.79,1.757,19.92,141.064,0.803,0.803,12.299,3.966
Peru,2001,26964552,146.076,5417.33,-0.871,0,0,0,0,17.61,84.786,0.31,1.82,0.87,1.493,20.77,117.959,0.77,0.77,8.763,4.189
Peru,2002,27288162,149.577,5481.384,2.397,0,0,0,0,18.04,82.037,0.78,1.88,1.1,3.547,21.99,139.154,0.864,0.864,8.549,5.002
Peru,2003,27580445,147.672,5354.215,-1.274,0,0,0,0,18.53,80.811,0.77,2.11,1.32,3.358,22.93,145.661,0.872,0.872,9.202,5.757
Peru,2004,27852131,157.396,5651.132,6.585,0,0,0,0,17.52,72.247,0.92,3.33,2.33,3.794,24.25,200,0.619,0.619,13.732,9.608
Peru,2005,28101118,163.73,5826.454,4.024,0,0,0,0,18.08,70.902,0.8,1.72,4.55,3.137,25.5,200,1.373,1.373,6.745,17.843
Peru,2006,28324448,165.593,5846.291,1.138,0,0,0,0,19.7,72.003,0.82,1.66,4.83,2.997,27.36,192.982,1.279,1.279,6.067,17.654
Peru,2007,28530662,180.285,6318.975,8.872,0,0,0,0,19.55,65.319,0.85,0.89,8.22,2.84,29.93,229.536,1.403,1.403,2.974,27.464
Peru,2008,28718988,194.644,6777.541,7.965,0,0,0,0,19.04,58.711,0.88,1.94,10.11,2.714,32.43,269.195,1.418,1.418,5.982,31.175
Peru,2009,28896766,198.44,6867.207,1.95,0,0,0,0,19.49,59.204,0.78,1.76,10.43,2.369,32.92,265.188,1.397,1.397,5.346,31.683
Peru,2010,29085967,225.286,7745.535,13.529,0,0,0,0,20.04,55.837,0.85,2.1,12.23,2.368,35.89,283.087,1.867,1.867,5.851,34.076
Peru,2011,29304035,248.556,8481.975,10.329,0,0,0,0,21.59,55.034,0.62,2.35,13.99,1.58,39.23,286.515,1.733,1.733,5.99,35.661
Peru,2012,29550318,256.725,8687.737,3.287,0.06,0.15,0,0,21.35,53.428,1.29,0.94,15.65,3.228,39.96,297.548,1.677,1.677,2.352,39.164
Peru,2013,29817865,262.581,8806.18,2.281,0.2,0.46,0,0,22.31,51.276,1.22,0.76,18.06,2.804,43.51,304.987,2.206,2.206,1.747,41.508
Peru,2014,30115771,268.829,8926.521,2.379,0.2,0.437,0.26,0.569,22.2,48.546,0.33,0.56,20.89,0.722,45.73,309.644,2.821,2.821,1.225,45.681
Peru,2015,30457550,281.669,9247.936,4.776,0.23,0.476,0.6,1.243,23.71,49.12,0.41,0.68,21.73,0.849,48.27,305.78,1.885,1.885,1.409,45.018
Peru,2016,30866446,298.938,9684.881,6.131,0.24,0.465,1.06,2.053,24.16,46.794,0.99,1.06,23.56,1.917,51.63,320.937,1.085,1.085,2.053,45.632
Peru,2017,31324599,303.59,9691.754,1.556,0.29,0.55,1.07,2.03,29.06,55.132,0.76,1.19,19.87,1.442,52.71,271.486,0.892,0.892,2.258,37.697
Peru,2018,31897541,318.425,9982.729,4.886,0.75,1.373,1.5,2.746,30.72,56.243,0.13,0.42,20.68,0.238,54.62,252.838,0.769,0.769,0.769,37.862
Peru,2019,32449256,326.585,10064.488,2.563,0.78,1.372,1.65,2.901,31.45,55.302,0.16,0.55,21.73,0.281,56.87,256.726,0.967,0.967,0.967,38.21
Peru,2020,32838533,287.882,8766.584,-11.851,0.79,1.491,1.81,3.416,30.5,57.558,0.14,0.54,18.67,0.264,52.99,239.668,1.019,1.019,1.019,35.233
Peru,2021,33155845,327.493,9877.379,13.759,0.8,1.404,1.82,3.194,31.89,55.957,0.14,0.59,21.17,0.246,56.99,250.921,1.018,1.018,1.035,37.147
Peru,2022,33475381,338.069,10099.042,3.23,0.84,1.402,1.93,3.222,29.73,49.633,0.17,0.62,26.02,0.284,59.9,287.813,0.985,0.985,1.035,43.439
Peru,2023,33845565,343.3,10143.133,1.547,0.97,1.56,2.35,3.779,29.1,46.792,0.08,1.21,27.9,0.129,62.19,300.531,0.933,0.933,1.946,44.863
Peru,2024,34217811,374.393,10941.468,9.057,1.29,2.02,3.9,6.108,32.04,50.18,0.08,0.69,25.23,0.125,63.85,263.273,0.971,0.971,1.081,39.514
